Temperature,Pressure,Humidity,Wind Direction,Wind Speed,Weather Description
28.4,1008,63,280,2,snow
28.796,1007,58,260,2,snow
28.994,1006,79,230,3,snow
28.4,1007,54,300,2,snow
27.374,1007,74,270,1,snow
26.42,1009,68,240,1,snow
18.482,1011,79,350,4,snow
18.59,1015,73,280,1,snow
24.242,1013,53,260,3,snow
25.196,1013,53,230,2,snow
25.412,1014,58,230,1,snow
25.412,1013,62,180,1,snow
24.242,1011,68,120,1,snow
25.592,1011,68,150,2,snow
25.178,1009,68,190,5,snow
28.382,1001,86,50,1,snow
29.282,1002,86,320,2,snow
31.622,1003,88,208,1,snow
30.794,1011,82,230,3,snow
36.122,1015,44,260,6,snow
36.194,1016,44,270,1,snow
30.578,1018,81,230,1,snow
30.002,1019,81,290,4,snow
30.02,1019,74,240,1,snow
29.66,1019,63,280,4,snow
29.57,1019,68,290,3,snow
28.418,1020,58,270,5,snow
25.16,1020,62,280,4,snow
18.482,1026,57,280,4,snow
19.598,1026,52,290,6,snow
29.3,1011,63,240,7,snow
29.12,1011,86,210,3,snow
36.014,998,100,50,3,snow
36.194,996,100,50,3,snow
36.212,995,100,110,3,snow
24.62,1014,62,340,3,snow
24.44,1014,62,360,3,snow
23.882,1014,58,320,3,snow
24.062,1014,58,320,3,snow
22.658,1015,67,320,4,snow
21.794,1015,62,320,6,snow
20.642,1016,62,300,5,snow
20.408,1016,48,330,4,snow
19.58,1017,52,280,3,snow
18.59,1017,62,290,4,snow
19.202,1018,73,300,5,snow
19.382,1018,67,290,8,snow
19.382,1020,53,280,7,snow
19.562,1020,62,310,7,snow
20.12,1020,48,290,7,snow
21.542,1022,73,200,7,snow
21.722,1022,79,200,7,snow
35.798,1015,91,40,2,snow
35.258,1013,94,30,3,snow
33.8,1008,100,130,4,snow
33.8,1019,47,310,7,snow
61.196,1001,72,210,5,thunderstorm
59.54,999,72,230,2,thunderstorm
36.572,1001,74,280,11,snow
35.798,1003,64,260,6,snow
33.44,1004,50,260,9,snow
32.792,1005,80,260,6,snow
31.586,1007,80,250,6,snow
29.786,1008,50,270,8,snow
29.012,1009,63,260,8,snow
27.5,1011,50,270,6,snow
27.122,1012,50,270,5,snow
26.186,1013,49,270,7,snow
24.98,1015,53,250,7,snow
24.8,1015,53,280,6,snow
24.62,1016,62,260,5,snow
24.602,1016,53,270,3,snow
24.8,1016,68,240,3,snow
24.8,1017,73,260,3,snow
24.8,1017,73,280,4,snow
24.782,1018,62,260,3,snow
54.41,1005,93,160,4,thunderstorm
55.22,1003,87,170,3,thunderstorm
55.796,1001,93,190,8,thunderstorm
54.788,1002,93,250,4,thunderstorm
37.796,1001,59,270,13,snow
33.26,1004,89,280,9,snow
27.194,1012,79,290,8,snow
26.78,1013,73,300,7,snow
26.6,1015,68,290,5,snow
30.002,1022,46,290,6,snow
30.56,1022,90,280,5,snow
30.794,1023,54,270,5,snow
30.56,1022,58,290,6,snow
28.616,1023,63,280,3,snow
27.788,1024,79,280,1,snow
26.798,1024,68,290,5,snow
27.014,1024,63,280,4,snow
26.78,1024,58,290,5,snow
22.1,1032,57,280,5,snow
23.99,1033,42,290,6,snow
26.042,1033,35,290,5,snow
39.92,1019,24,260,3,snow
39.38,1019,24,270,2,snow
27.014,1024,45,320,5,snow
27.5,1024,38,310,8,snow
28.22,1024,30,330,9,snow
24.386,1029,68,80,3,snow
22.63382528,1033,87,79,6,snow
20.282,1024,79,30,4,snow
20.39,1022,85,30,5,snow
17.996,1022,72,10,3,snow
16.16,1022,78,350,3,snow
17.996,1023,78,360,4,snow
21.92,1021,53,350,6,snow
20.21,1020,67,350,8,snow
20.192,1021,44,340,9,snow
19.994,1021,41,350,7,snow
28.94,1022,50,300,4,snow
28.202,1022,39,300,4,snow
27.482,1023,39,290,4,snow
35.942,1022,38,160,3,snow
33.8,1020,86,170,4,snow
33.206,1019,86,150,2,snow
32.612,1018,80,140,2,thunderstorm
32.396,1018,91,150,3,snow
32.396,1018,91,160,2,snow
33.44,1014,94,151,2,snow
34.52,1023,94,188,2,snow
37.4,1019,86,180,4,thunderstorm
39.542,1018,86,190,5,snow
64.49,1015,66,30,6,thunderstorm
57.182,1018,87,20,3,thunderstorm
43.682,1017,87,160,2,snow
36.392,1017,86,70,7,snow
36.5,1017,93,80,5,snow
36.5,1017,93,70,4,snow
38.48,1009,100,70,8,snow
38.66,1007,93,70,6,snow
43.7,1007,87,20,5,snow
39.182,995,86,360,6,snow
38.804,995,86,350,7,snow
38.012,995,93,340,4,snow
37.22,995,93,340,6,snow
34.79,1008,74,330,5,snow
69.98,1013,43,220,7,thunderstorm
67.658,1012,72,250,6,thunderstorm
73.922,1014,44,220,7,thunderstorm
62.618,1015,63,230,5,thunderstorm
51.98,1019,87,163,2,thunderstorm
71.258,1016,73,330,5,thunderstorm
65.21,1017,82,290,10,thunderstorm
47.66,1018,81,70,3,thunderstorm
56.84,1008,93,130,5,thunderstorm
57.758,1009,93,90,2,thunderstorm
66.2,1002,63,70,2,thunderstorm
63.59,1002,59,152,4,thunderstorm
44.6,1005,87,10,6,snow
44.798,1004,87,10,7,snow
44.996,1004,87,360,6,snow
45.014,1002,87,360,6,snow
55.922,1016,38,170,1,thunderstorm
54.68,1016,66,144,3,thunderstorm
54.842,1015,66,163,3,thunderstorm
71.618,1013,78,180,5,thunderstorm
70.52,1012,88,200,7,thunderstorm
73.238,1006,50,120,3,thunderstorm
62.6,1006,82,210,4,thunderstorm
76.622,1009,36,250,7,thunderstorm
70.7,1010,40,210,2,thunderstorm
76.496,1009,44,150,1,thunderstorm
74.012,1010,64,350,3,thunderstorm
69.242,1009,82,60,2,thunderstorm
78.458,1017,73,90,3,thunderstorm
79.88,1016,57,60,4,thunderstorm
81.176,1010,69,180,5,thunderstorm
79.718,1009,48,250,2,thunderstorm
75.812,1008,34,280,3,thunderstorm
67.784,1009,77,240,3,thunderstorm
67.64,1009,68,220,3,thunderstorm
67.01,1010,60,350,4,thunderstorm
63.392,1014,72,96,2,thunderstorm
72.716,1009,94,250,7,thunderstorm
72.194,1009,94,230,1,thunderstorm
72.626,1009,94,170,1,thunderstorm
72.5,1009,88,200,3,thunderstorm
69.008,1011,100,230,2,thunderstorm
80.834,1011,57,250,5,thunderstorm
78.062,1011,57,280,3,thunderstorm
73.598,1012,69,210,2,thunderstorm
70.862,1011,77,237,4,thunderstorm
69.422,1011,94,230,5,thunderstorm
82.4,1007,45,260,2,thunderstorm
76.658,1007,83,30,2,thunderstorm
72.518,1009,54,200,3,thunderstorm
69.782,1009,83,130,1,thunderstorm
69.62,1009,94,230,2,thunderstorm
67.82,1014,88,206,2,thunderstorm
66.56,1014,88,218,2,thunderstorm
66.74,1014,88,218,2,thunderstorm
74.84,1014,94,80,1,thunderstorm
75.056,1013,94,0,2,thunderstorm
73.202,1014,94,179,0,thunderstorm
77.81,1016,83,200,3,thunderstorm
73.4,1014,94,200,5,thunderstorm
83.858,1008,78,320,3,rain
81.878,1008,74,320,3,rain
81.122,1008,51,270,2,rain
78.998,1008,54,310,2,rain
80.276,1007,51,310,2,rain
66.2,1012,72,360,4,rain
67.01,1013,77,320,8,rain
74.192,1016,44,10,6,rain
84.812,1017,37,230,3,thunderstorm
85.226,1016,51,280,3,thunderstorm
75.2,1017,93,100,3,thunderstorm
74.048,1017,94,210,4,thunderstorm
73.094,1017,78,200,1,rain
72.014,1017,73,206,2,thunderstorm
80.852,1017,69,194,3,thunderstorm
80.276,1017,69,30,2,thunderstorm
81.05,1014,83,350,3,rain
80.654,1014,73,340,2,thunderstorm
76.802,1013,69,160,4,thunderstorm
69.44,1011,78,210,3,rain
69.26,1011,73,220,6,rain
67.82,1010,77,230,4,thunderstorm
67.19,1009,88,210,3,rain
64.202,1009,59,220,5,rain
64.04,1009,63,220,6,rain
62.798,1010,87,230,5,rain
62.42,1011,77,240,6,rain
75.938,1018,50,230,4,rain
68.36,1018,82,10,1,rain
67.28,1018,82,215,2,rain
62.582,1018,88,231,2,rain
73.4,1017,53,340,3,rain
74.804,1016,50,310,4,rain
69.17,1016,64,220,3,rain
